transactionHash,if_is_anomaly,ae_is_anomaly,fusion_union_anom,fusion_intersection_anom,fusion_ensemble_anom,if_anom_score,ae_anom_score,fusion_score
0xcd34ba3181b7ad68bf2af259c997089535ec1d85671101a5c3e831423fe45b59,False,False,False,False,False,0.16462530638761486,0.00019552237964239595,0.08241041438362863
0xf894655f111385850ba55f530542a86dbed9800a948ee4d6bd1db5fb8c7d3bb5,False,False,False,False,False,0.28313761971720053,0.0010297405994373517,0.14208368015831893
0x5d8ce7a9cc0a44022130c006e997d1edf71d88215cdbb3bf5ae63393fc7fdc4f,False,False,False,False,False,0.145935545639056,0.00015444012876642772,0.07304499288391121
0xcadb0ff4f2c3a74fc03168bf290283b47dbeff068c07c9f784da8d3caf04e88f,False,False,False,False,False,0.10311660613677046,0.0002382445491633559,0.051677425342966904
0xee1b9c9440f80f0b0f6caadbc009d06195f5d8f38aa365b8fa1e7290f09d2f85,False,False,False,False,False,0.10166162761680765,0.000234391207233978,0.050948009412020816
0xffb1cb00b80d185b8d825d6caf9ee86dbff622359cc18cd9457865a20f26fe24,True,True,True,True,True,0.5835294548260338,0.0029696948381497225,0.29324957483209174
0x99f2d76d7522b8fe92295e957fc635930416e842645bdba7c44540c8c9f4cb99,True,False,True,False,True,0.5626832164482161,0.001019511799646233,0.28185136412393114
0x732cdf51f30f7af1ccff43fd0dac476298e0cb6578a72c457e3860ef9be03429,False,False,False,False,False,0.09183119081936926,0.00014181825597589867,0.04598650453767258
0xc8ac88a39a545751dc62b112c3de1db843d56a9ca411a2b4ba8459f2bcff6541,False,False,False,False,False,0.07752171630584097,4.844745644115688e-05,0.03878508188114106
0x9598e17e87c83ee5ab502311cb8063dcc3745d212385a9c305933ad8ce73897a,False,False,False,False,False,0.21152710343854983,0.00029927540152273845,0.10591318942003629
0xb329b1d898100e577ce2a09ee9e0fe32688eab4243fc5a0ead99242640242c5c,False,False,False,False,False,0.1021453667835376,0.0003203116416581682,0.051232839212597886
0x3a2a6429696d8d338cf43ff6917fffcd5518781d215e0f882a9f98b094f73d97,False,False,False,False,False,0.09301810650585464,0.00016820361598756075,0.0465931550609211
0xd4eadacf87abc21534452b083017a6f580b60790cb16387fc67aab340fe2f6bd,False,False,False,False,False,0.1121487359612927,6.212590361859776e-05,0.056105430932455645
0xdf3fce9c2894bc2651657f203b7d5e21729853cf49b22e33469206b31829beba,False,False,False,False,False,0.11991426476924025,0.00027118204018623516,0.06009272340471324
0x6b151915ab904885bd144d0ebdec52f00770fcf5488979107b5a1adaad2b1ef4,False,False,False,False,False,0.09525014486527192,8.489813713154917e-05,0.04766752150120174
0x1037323d011b7da15164f43ee60204a5272324fde0839ecfb381589c4cd13d85,False,False,False,False,False,0.08225008050543749,7.475342816663136e-05,0.04116241696680206
0x86a0b6cc9204c53a5bc90ea979e56dcc27d88380715af598cd2048940e172165,False,False,False,False,False,0.4661475880876505,0.0012543264986182153,0.23370095729313436
0xcfbdc68ea784e3a4d232b5d4074c890dd00d86cfc64113f1173edfc9653f6e9b,False,False,False,False,False,0.06355530256584695,0.00011899647053386397,0.0318371495181904
0xd65039ae0a0f4067f56dc01ed0a13c216d78b77ca854dc30ba3a4e18cc8bcb9d,True,True,True,True,True,0.7026092958347577,0.0021748861009859752,0.35239209096787183
0x9c95e05b60f70a5304b25cd8b43d8174303466caeefb577bea489b85f9ce4c48,False,False,False,False,False,0.10037266602116322,0.00020907778983533264,0.05029087190549928
0x5e9f7952f40f32892545aff4baee384e6656ff50f3ffa4bc9c07c1c4b52c66f9,False,False,False,False,False,0.10939422945064395,0.00020499959345479023,0.05479961452204937
0x970edb6941bad61ccb264f40571160ef6048b8f56cd2df19460d873e60a0c8b1,False,False,False,False,False,0.119104468028963,0.00016380924581311943,0.05963413863738806
0xdb850d4101c6b3beb498adb3574f1b079a3dcea3318cd4e292d63a43fe862ab9,False,False,False,False,False,0.11745684242357626,0.00020794474412511306,0.05883239358385069
0x0280ac166e91306e9a5b9146b03bd3f5b2b9ad7d8c78c1b3feecfcc72d5b94ca,False,False,False,False,False,0.10314577513556832,0.00010810686166456404,0.05162694099861644
0x83fdb1a5da8d089a9593dd08b9c9f0af68bc55da37be748afd3fd2365be6e609,False,False,False,False,False,0.10120231360142495,0.0001450582461187946,0.050673685923771875
0x095747863ec868cf114920f89ed71cb6b202ba333698da42b477f67a0171ce6d,False,False,False,False,False,0.10772694216090595,0.0001486592616903388,0.053937800711298146
0x47923e680c5b276593275e006e6c32d51ff8198d8bab888ae470142b206619c7,True,True,True,True,True,0.819665594334634,0.5269224948469392,0.6732940445907867
0xf6dc2a86b386a50044a044fc19fed2a103aaa9db1c44c9982b42e2f238e5242a,False,False,False,False,False,0.0947534232907962,0.00024691447009699897,0.0475001688804466
0x5ad8517a14e46d519c033aa7625097978ce94d9d3c30d894ccc63b40d21b60cf,False,False,False,False,False,0.33370727529520355,0.0014697931868906005,0.16758853424104708
0x2c95a06264cd262e670215cbdc3d41d6fa6b6a1440229791be507f2968ed0eef,False,False,False,False,False,0.33368496148002313,0.0004635232653225197,0.16707424237267282
0x4abcb2865cb5cbd6b15ae500c799479a19cdeea4745f56f6af96b0bd5d7b9890,False,False,False,False,False,0.07552238544674995,0.0001519570348832437,0.0378371712408166
0xc023cebe1da997fb2c5f7b7d27d8174a0f3e6f22945fa16d7f79a87e08e9e654,False,False,False,False,False,0.07611230240294818,0.00020249830870914618,0.038157400355828666
0x44f2a2acd80a702d83e0d8d36ac36455157cb8058bceb41c04b456d5428852e6,False,False,False,False,False,0.14868448788388727,0.00021168326019255744,0.07444808557203991
0xcd4e5e8d059b2651d75baf029b3d1397706fe8fe23def11611e81523e921d192,False,False,False,False,False,0.08124966077142594,0.00014370248152059673,0.04069668162647327
0xc8fd3ffc8b3afac75783eafb0172302d19cca6f9fed1305829589716a4efdcec,False,False,False,False,False,0.0680858679402807,0.00012920394311896573,0.03410753594169983
0xa8e795aa9b8e1ee7f5010ad32c8d724cfaaf885cdc989befb1a4313f792d67d9,False,False,False,False,False,0.06783408838878012,9.694361643612583e-05,0.03396551600260812
0x37e1ffced648a18173f21afe83eb69ce9d26382b9ef08dd729d846498c645eb1,False,False,False,False,False,0.07646145463156438,0.00019856025447478792,0.038330007443019586
0x927f271764ad52255f8bc124c4b44cb834d3344f88fac666a427297267ff121e,False,False,False,False,False,0.0740856040028569,0.00019036638333062993,0.03713798519309376
0xe107ce8b47fa7d4e81f9d970858a87e68c2ae3a465a973e8372d3a117512a5ac,False,False,False,False,False,0.07806340539388115,0.00017376591342544898,0.0391185856536533
0xc8dd1ba2ff36c620c2b2e83be6c9b2cdc4d500461a454a5358c6ab3dab3aa419,False,False,False,False,False,0.06336957645446727,0.00017462371950890975,0.03177210008698809
0x4c7610aca523cd20f9585f61b6d8ddd41e55e96a8b1833974e1f0a81fee16021,False,False,False,False,False,0.06962074108405425,0.00012770577008019372,0.034874223427067225
0x8fc7610cd15af439756ef90bde37a5b55c20c86c821e7488b7aa95245efb1be7,False,False,False,False,False,0.19299723876585329,0.0003449711914664577,0.09667110497865987
0xfac701f6a5840af0961d5dad1c63e3b79ff92b38793d8227c0736b3fafb5f56b,False,False,False,False,False,0.06075680081873311,0.00010290385459552157,0.030429852336664315
0xa38bb754f88e9bee528beaa76258d4e4dca91cdf1b8d529cf78f24ffc9700128,False,False,False,False,False,0.05746888367970809,0.00015134005897590272,0.028810111869341994
0xee157e8a2ace74d9b18c4abdcfbff431ab49d0026f6049dc5620112ad024881c,False,False,False,False,False,0.07111793047227269,0.00017154683764471513,0.0356447386549587
0x7169335cbb860f6e2c7d2ade89de2c1f47d442fbc3cdb8912d686b27d8fc253b,False,False,False,False,False,0.12656349101168934,0.00028446553234145485,0.0634239782720154
0x40b43a49dcde771393da385f6c6e117d13debf42c34ca109b1530980804412cd,False,False,False,False,False,0.07150043953762628,0.0001250649568965735,0.03581275224726142
0x00d52c676ef34a986fce6449064b3f09292255c14723346170e089c215150089,False,False,False,False,False,0.08460320661292375,0.00014055523267559046,0.04237188092279967
0xae2f933f0b5c0300e9db7c14f3082bd00d949b58a23296c31e38092e4011d892,False,False,False,False,False,0.059447681242832714,0.00015244417127171866,0.029800062707052218
0x888bc67d49a47506555453a4d05d8b1ae78d90ce2f6a400052e3534ba776a894,False,False,False,False,False,0.1250364758045387,0.0004874309715237489,0.06276195338803123
